InvoiceDate,ClNumber,Portfolio,Total,Downpayment,Subsidy,InitialCreditAmount,ProductMix,Days Overdue as of 01.08,OverdueInstallmentsAmount,OverdueInstallments,DaysTillNextPayment,Branch,Balanceas of 01.08,Days Overdue as of 01.05,Overdue Amount,Manager,Contact updated,Current address updated,System located at indicated address,Client knows he has a debt,Client knows the amount of a debt,Client willing and capable to pay,Amount a client can pay this month,Last payment date,Last payment amount,Last payment method,Client knows the options of paying,The system is working,Date of the last contact by staff,Category
7/29/2016,C20178A302135,First Transh,4668.75,468.75,0,4200,Home System,1282,728000,13,0,,,,,,,,,,,,,,,,,,,
3/24/2016,A20179A102021,First T,10984.375,1084.375,0,9900,Home System,849,786000,2,0,,,,,,,,,,,,,,,,,,,
7/25/2016,B20180DC02087,First Transh,14875,2500,0,12375,Home System,289,1622000,9,0,,,,,,,,,,,,,,,,,,,
7/23/2016,C20181L502286,First Transh,4831.25,481.25,0,4350,Home System,642,1044000,18,0,,,,,,,,,,,,,,,,,,,
7/22/2016,A20182AA02132,First Transh,3618.75,1134.375,1171.875,1312.5,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/25/2016,B20183AB02080,First Transh,16350,1650,0,14700,Home System,796,0,1,0,,,,,,,,,,,,,,,,,,,
8/5/2016,C20184A102113,First Transh,3821.875,325,1134.375,2362.5,Home System,1565,464000,8,0,B2,464000,1594,464000,MJK,yes,yes,yes,yes,NO,no,,23/08/2017,50000,Mobile Money,YES,NO,3 months,SERVICE CASE AND BATTERY ISSUES
7/22/2016,A20185H20265,First Transh,7959.375,618.75,1790.625,5550,Home System,825,724000,10,0,B4,1009000,700,1009000,MJK,yes,yes,yes,yes,yes,yes,200000,long time ago,not sure,bank,yes,no,feb,SERVICE CASE AND BATTERY ISSUES
7/23/2016,B20186AA0256,First Transh,7756.25,781.25,0,6975,Home System,613,0,1,0,,,,,,,,,,,,,,,,,,,
7/29/2016,C20187FC02190,First Transh,16765.625,1690.625,0,15075,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/22/2016,A20188E202073,First Transh,10796.875,1309.375,0,9487.5,Home System,798,443000,2,0,,,,,,,,,,,,,,,,,,,
7/23/2016,B20189H702105,First Transh,11737.5,931.25,2481.25,8325,Home System,1009,0,1,0,,,,,,,,,,,,,,,,,,,
8/2/2016,C20190H602167,First Transh,11025,871.875,2353.125,7800,Home System,639,1456000,14,0,B14,1456000,668,1456000,MJK,no,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
12/30/2016,A20191HA0193,First Transh,2312.5,200,650,1462.5,Home System,1148,0,1,0,,,,,,,,,,,,,,,,,,,
7/22/2016,B20192E202071,First Transh,5921.875,596.875,0,5325,Home System,828,776000,11,0,,,,,,,,,,,,,,,,,,,
7/25/2016,C20193H702103,First Transh,13465.625,1071.875,2793.75,9600,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/25/2016,A20194L102164,First Transh,4918.75,493.75,0,4425,Home System,821,50000,1,0,B30,50000,,50000,MMM,yes,yes,yes,yes,NO,no,0,2/8/2018 0:00,177000,BANK,YES,YES,2/7/2021 0:00,CLIENT CLAIMS TO HAVE CLEARED
7/22/2016,B20195L502285,First Transh,10753.125,1303.125,0,9450,Home System,1375,504000,2,0,,,,,,,,,,,,,,,,,,,
7/23/2016,C20196G302066,First Transh,11775,1875,0,9900,Home System,674,-6000,0,75,B7,50023,703,-6000,MJK,,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
7/23/2016,A20197G302066,First Transh,11775,1875,0,9900,Home System,674,-6000,0,75,B7,50023,703,-6000,MJK,,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
7/23/2016,B20198G302066,First Transh,11775,1875,0,9900,Home System,674,-6000,0,75,B7,50023,703,-6000,MJK,,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
7/23/2016,C20199K502136,First Transh,3534.375,1640.625,0,1893.75,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/25/2016,A20200K502137,First Transh,10225,1562.5,0,8662.5,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/25/2016,B20201G902062,First Transh,3881.25,468.75,0,3412.5,Home System,553,0,1,0,,,,,,,,,,,,,,,,,,,
9/19/2016,C20202L102192,First Transh,7834.375,784.375,0,7050,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
8/2/2016,A20203AB0201,First Transh,10803.125,1562.5,2490.625,6750,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/14/2016,B20204G902060,First Transh,4093.75,2500,0,1593.75,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/22/2016,C20205E202072,First Transh,4909.375,596.875,0,4312.5,Home System,1374,0,1,0,,,,,,,,,,,,,,,,,,,
7/29/2016,A20206AA02049,First Transh,11428.125,1153.125,0,10275,Home System,640,1690000,12,0,,,,,,,,,,,,,,,,,,,
7/13/2016,B20207FC02150,First Transh,9328.125,4753.125,0,4575,Home System,1472,257000,3,0,B34,257000,,257000,MMM,yes,yes,yes,,,no,,,,,,no,,CLIENT CLAIMS TO HAVE CLEARED
11/3/2016,C20208K202085,First Transh,3881.25,468.75,0,3412.5,Home System,1233,4000,1,0,,,,,,,,,,,,,,,,,,,
7/23/2016,A20209F102105,First Transh,3915.625,390.625,0,3525,Home System,769,0,1,0,,,,,,,,,,,,,,,,,,,
5/31/2016,B20210H602034,First Transh,9993.75,900,2568.75,6525,Home System,1692,1740000,10,0,,,,,,,,,,,,,,,,,,,
7/27/2016,C20211L502275,First Transh,12928.125,1303.125,0,11625,Home System,793,465000,3,0,,,,,,,,,,,,,,,,,,,
7/25/2016,A20212K202083,First Transh,4909.375,596.875,0,4312.5,Home System,596,1978000,20,13,,,,,,,,,,,,,,,,,,,
7/29/2016,B20213H702060,First Transh,14721.875,3162.5,3534.375,8025,Home System,783,105000,2,0,,,,,,,,,,,,,,,,,,,
9/8/2016,C20214HA02094,First Transh,13071.875,1059.375,2562.5,9450,Home System,899,108000,1,0,B9,108000,928,108000,MJK,no,no,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
7/25/2016,A20215G902059,First Transh,3881.25,468.75,0,3412.5,Home System,1491,406000,5,0,B10,406000,1520,406000,MJK,yes,yes,yes,yes,YES,yes,,,,,,,,CLAIMS TO HAVE COMPLETED PAYMNT
7/12/2016,B20216E502090,First Transh,4387.5,937.5,0,3450,Home System,953,0,1,0,,,,,,,,,,,,,,,,,,,
7/23/2016,C20217E102171,First Transh,11678.125,1178.125,0,10500,Home System,613,1550000,11,0,B22,1550000,642,1550000,MMM,yes,,,,,,,,,,,,,CLIENT NOT COOPERATIVE 
7/26/2016,A20218FB02122,First Transh,12928.125,1303.125,0,11625,Home System,1375,2074500,14,0,,,,,,,,,,,,,,,,,,,
3/24/2016,B20219AB02016,First T,8590.625,671.875,1918.75,6000,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/30/2016,C20220L502276,First Transh,4168.75,1562.5,0,2606.25,Home System,1632,134000,1,0,,,,,,,,,,,,,,,,,,,
7/23/2016,A20221A102111,First Transh,10109.375,925,2471.875,6712.5,Home System,1345,158000,1,0,,,,,,,,,,,,,,,,,,,
7/29/2016,B20222K502134,First Transh,7337.5,887.5,0,6450,Home System,1694,2064000,12,0,,,,,,,,,,,,,,,,,,,
7/11/2016,C20223D502124,First Transh,11418.75,1143.75,0,10275,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/23/2016,A20224L102189,First Transh,2431.25,293.75,0,2137.5,Home System,1129,684000,12,0,,,,,,,,,,,,,,,,,,,
7/23/2016,B20225L102183,First Transh,12621.875,1246.875,0,11375,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/12/2016,C20226L102186,First Transh,4668.75,468.75,0,4200,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/12/2016,A20227E402076,First Transh,4668.75,468.75,0,4200,Home System,739,60000,1,0,,,,,,,,,,,,,,,,,,,
7/29/2016,B20228H702102,First Transh,11487.5,1562.5,2650,7275,Home System,564,678000,7,0,,,,,,,,,,,,,,,,,,,
7/22/2016,C20229FA02087,First Transh,11678.125,1178.125,0,10500,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/12/2016,A20230DC02072,First Transh,4756.25,781.25,0,3975,Home System,819,526000,10,0,,,,,,,,,,,,,,,,,,,
7/11/2016,B20231F102103,First Transh,4537.5,937.5,0,3600,Home System,1316,570000,12,0,,,,,,,,,,,,,,,,,,,
12/5/2016,C20232C102110,First Transh,4918.75,493.75,0,4425,Home System,653,0,1,0,,,,,,,,,,,,,,,,,,,
5/20/2016,A20233E502047,First T,18187.5,4687.5,0,13500,Home System,607,1435000,8,0,,,,,,,,,,,,,,,,,,,
7/26/2016,B20234D502123,First Transh,15178.125,1528.125,0,13650,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
7/11/2016,C20235L602104,First Transh,4918.75,493.75,0,4425,Home System,647,944000,16,0,B28,944000,,944000,MMM,no,yes,yes,yes,NO,no,,2017,59000,MOBILE MONEY,YES,NO,6/14/2021 0:00,SERVICECASES BATTERIES WARRANTY
